Rank,Team,Games Played,AST,TO,Ratio
346,SFA,31,388,483,.80
347,CSU Bakersfield,33,334,416,.80
348,Long Beach St.,32,364,460,.79
349,Alcorn,32,329,418,.79
350,Saint Peter's,28,289,381,.76
351,Coppin St.,30,336,447,.75
352,Gardner-Webb,31,325,453,.72
353,Cal St. Fullerton,32,288,474,.61
354,Tarleton St.,32,338,562,.60
355,Mississippi Val.,31,258,501,.51
